,titres,liens,composes
51,"<a class=""omnitureproductlink product-image-link"" href=""/legging-bebe-en-maille-cotelee-ecru.htm?ProductId=702090762&amp;FiltreCouleur=0401&amp;t=1"">Legging bébé en maille côtelée - écru</a>",/legging-bebe-en-maille-cotelee-ecru.htm?ProductId=702090762&FiltreCouleur=0401&t=1,['100% coton']
52,"<a class=""omnitureproductlink product-image-link"" href=""/lot-de-2-pantalons-bebe-avec-pieds-sable.htm?ProductId=702090784&amp;FiltreCouleur=6301&amp;t=1"">Lot de 2 pantalons bébé avec pieds - sable</a>",/lot-de-2-pantalons-bebe-avec-pieds-sable.htm?ProductId=702090784&FiltreCouleur=6301&t=1,"['88% coton', '8% polyester', '4% �lasthanne', '100% coton']"
53,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-large-bebe-a-pont-en-denim-double-stone.htm?ProductId=341004229&amp;FiltreCouleur=0541&amp;t=1"">Pantalon large bébé à pont en denim - double stone</a>",/pantalon-large-bebe-a-pont-en-denim-double-stone.htm?ProductId=341004229&FiltreCouleur=0541&t=1,['100% coton']
54,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-en-gaze-de-coton-bebe-rose-pale.htm?ProductId=341003711&amp;FiltreCouleur=1128&amp;t=1"">Pantalon en gaze de coton bébé - rose pâle</a>",/pantalon-en-gaze-de-coton-bebe-rose-pale.htm?ProductId=341003711&FiltreCouleur=1128&t=1,['100% coton']
55,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-en-denim-leger-bebe-denim-bleached.htm?ProductId=341004162&amp;FiltreCouleur=0543&amp;t=1"">Pantalon en denim léger bébé - denim bleached</a>",/pantalon-en-denim-leger-bebe-denim-bleached.htm?ProductId=341004162&FiltreCouleur=0543&t=1,['100% coton']
56,"<a class=""omnitureproductlink product-image-link"" href=""/legging-bebe-fille-ceinture-pailletee-oeko-tex-abricot.htm?ProductId=702090622&amp;FiltreCouleur=1001&amp;t=1"">Legging bébé fille ceinture pailletée Oeko-Tex® - abricot</a>",/legging-bebe-fille-ceinture-pailletee-oeko-tex-abricot.htm?ProductId=702090622&FiltreCouleur=1001&t=1,"['95% coton', '5% �lasthanne']"
57,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-en-gaze-de-coton-bebe-ecru.htm?ProductId=341003711&amp;FiltreCouleur=0401&amp;t=1"">Pantalon en gaze de coton bébé - écru</a>",/pantalon-en-gaze-de-coton-bebe-ecru.htm?ProductId=341003711&FiltreCouleur=0401&t=1,['100% coton']
58,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-bebe-garcon-vert-fonce.htm?ProductId=702090814&amp;FiltreCouleur=6729&amp;t=1"">Pantalon bébé garçon - vert foncé</a>",/pantalon-bebe-garcon-vert-fonce.htm?ProductId=702090814&FiltreCouleur=6729&t=1,"['60% coton', '40% polyester']"
59,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-fluide-bebe-caramel.htm?ProductId=341004894&amp;FiltreCouleur=0810&amp;t=1"">Pantalon fluide bébé - caramel</a>",/pantalon-fluide-bebe-caramel.htm?ProductId=341004894&FiltreCouleur=0810&t=1,['100% viscose']
60,"<a class=""omnitureproductlink product-image-link"" href=""/slim-brode-bebe-en-coton-stretch-brique.htm?ProductId=702090798&amp;FiltreCouleur=6530&amp;t=1"">Slim brodé bébé en coton stretch - brique</a>",/slim-brode-bebe-en-coton-stretch-brique.htm?ProductId=702090798&FiltreCouleur=6530&t=1,"['98% coton', '2% �lasthanne']"
61,"<a class=""omnitureproductlink product-image-link"" href=""/jean-lvb-skinny-dobby-pull-on-garcon-levi-s-bleu.htm?ProductId=341004462&amp;FiltreCouleur=0502&amp;t=1"">Jean LVB Skinny dobby Pull on Garçon Levi's - bleu</a>",/jean-lvb-skinny-dobby-pull-on-garcon-levi-s-bleu.htm?ProductId=341004462&FiltreCouleur=0502&t=1,"['67% coton', '28% polyester', '3% viscose', '2% �lasthanne']"
62,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-en-molleton-bebe-poche-en-velours-anthracite.htm?ProductId=341002472&amp;FiltreCouleur=0601&amp;t=1"">Pantalon en molleton bébé poche en velours - anthracite</a>",/pantalon-en-molleton-bebe-poche-en-velours-anthracite.htm?ProductId=341002472&FiltreCouleur=0601&t=1,"['64% coton', '34% polyester', '2% �lasthanne', '100% coton']"
63,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-en-molleton-bebe-a-carreaux-carreaux-bleu-fonce.htm?ProductId=702090801&amp;FiltreCouleur=6392&amp;t=1"">Pantalon en molleton bébé à carreaux - carreaux bleu foncé</a>",/pantalon-en-molleton-bebe-a-carreaux-carreaux-bleu-fonce.htm?ProductId=702090801&FiltreCouleur=6392&t=1,"['73% coton', '26% polyester', '1% �lasthanne']"
64,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-large-bebe-imprime-caramel.htm?ProductId=341004982&amp;FiltreCouleur=0810&amp;t=1"">Pantalon large bébé imprimé - caramel</a>",/pantalon-large-bebe-imprime-caramel.htm?ProductId=341004982&FiltreCouleur=0810&t=1,"['95% coton', '5% viscose']"
65,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-large-en-velours-cotele-bebe-cappuccino.htm?ProductId=341002479&amp;FiltreCouleur=0809&amp;t=1"">Pantalon large en velours côtelé bébé - cappuccino</a>",/pantalon-large-en-velours-cotele-bebe-cappuccino.htm?ProductId=341002479&FiltreCouleur=0809&t=1,['100% coton']
66,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-fluide-bebe-corail.htm?ProductId=341004894&amp;FiltreCouleur=1006&amp;t=1"">Pantalon fluide bébé - corail</a>",/pantalon-fluide-bebe-corail.htm?ProductId=341004894&FiltreCouleur=1006&t=1,['100% viscose']
67,"<a class=""omnitureproductlink product-image-link"" href=""/bloomer-bebe-en-denim-light-cyrillus-bleu.htm?ProductId=341008482&amp;FiltreCouleur=0502&amp;t=1"">Bloomer Bébé en denim light CYRILLUS - bleu</a>",/bloomer-bebe-en-denim-light-cyrillus-bleu.htm?ProductId=341008482&FiltreCouleur=0502&t=1,['100% coton']
68,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-en-velours-bebe-avec-ceinture-en-tissu-beige-clair.htm?ProductId=702090803&amp;FiltreCouleur=6309&amp;t=1"">Pantalon en velours bébé avec ceinture en tissu - beige...</a>",/pantalon-en-velours-bebe-avec-ceinture-en-tissu-beige-clair.htm?ProductId=702090803&FiltreCouleur=6309&t=1,"['100% coton', '100% coton']"
69,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-en-gaze-de-coton-bebe-doublure-rayee-naissance-bleu-gris.htm?ProductId=702090786&amp;FiltreCouleur=6399&amp;t=1"">Pantalon en gaze de coton bébé doublure rayée naissance -...</a>",/pantalon-en-gaze-de-coton-bebe-doublure-rayee-naissance-bleu-gris.htm?ProductId=702090786&FiltreCouleur=6399&t=1,"['100% coton', '100% coton']"
70,"<a class=""omnitureproductlink product-image-link"" href=""/jean-slim-bebe-fille-levi-s-bleu.htm?ProductId=341004437&amp;FiltreCouleur=0502&amp;t=1"">Jean slim bébé fille Levi's® - bleu</a>",/jean-slim-bebe-fille-levi-s-bleu.htm?ProductId=341004437&FiltreCouleur=0502&t=1,"['61% coton', '38% polyester', '1% �lasthanne']"
71,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-dobby-skinny-bebe-levi-s-bleu.htm?ProductId=341004492&amp;FiltreCouleur=0502&amp;t=1"">Pantalon dobby skinny bébé LEVI'S® - bleu</a>",/pantalon-dobby-skinny-bebe-levi-s-bleu.htm?ProductId=341004492&FiltreCouleur=0502&t=1,[]
