,titres,liens,composes
49,"<a class=""omnitureproductlink product-image-link"" href=""/robe-brodee-fleurs-en-gaze-de-coton-fille-rose.htm?ProductId=702130926&amp;FiltreCouleur=6626&amp;t=1"">Robe brodée fleurs en gaze de coton fille - rose</a>",/robe-brodee-fleurs-en-gaze-de-coton-fille-rose.htm?ProductId=702130926&FiltreCouleur=6626&t=1,[]
50,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-large-motifs-fleurs-fille-moutarde.htm?ProductId=341004551&amp;FiltreCouleur=0701&amp;t=1"">Pantalon large motifs fleurs fille - moutarde</a>",/pantalon-large-motifs-fleurs-fille-moutarde.htm?ProductId=341004551&FiltreCouleur=0701&t=1,['100% viscose']
51,"<a class=""omnitureproductlink product-image-link"" href=""/robe-smockee-manches-brodees-fille-caramel.htm?ProductId=341004930&amp;FiltreCouleur=0810&amp;t=1"">Robe smockée manches brodées fille - caramel</a>",/robe-smockee-manches-brodees-fille-caramel.htm?ProductId=341004930&FiltreCouleur=0810&t=1,"['95% coton', '5% viscose']"
52,"<a class=""omnitureproductlink product-image-link"" href=""/robe-smockee-a-bretelles-motifs-fleurs-fille-ecru.htm?ProductId=341004830&amp;FiltreCouleur=0401&amp;t=1"">Robe smockée à bretelles motifs fleurs fille - écru</a>",/robe-smockee-a-bretelles-motifs-fleurs-fille-ecru.htm?ProductId=341004830&FiltreCouleur=0401&t=1,[]
53,"<a class=""omnitureproductlink product-image-link"" href=""/lot-de-2-leggings-basics-fille-mi-mollets-gris-chine-noir.htm?ProductId=700050098&amp;FiltreCouleur=6443&amp;t=1"">Lot de 2 leggings Basics fille mi-mollets - gris chiné +...</a>",/lot-de-2-leggings-basics-fille-mi-mollets-gris-chine-noir.htm?ProductId=700050098&FiltreCouleur=6443&t=1,"['95% coton', '5% élasthanne', '91% coton', '5% viscose', '4% élasthanne']"
54,"<a class=""omnitureproductlink product-image-link"" href=""/robe-mi-longue-a-bretelles-imprimee-fleurs-fille-framboise.htm?ProductId=341004831&amp;FiltreCouleur=1118&amp;t=1"">Robe mi-longue à bretelles imprimée fleurs fille - framboise</a>",/robe-mi-longue-a-bretelles-imprimee-fleurs-fille-framboise.htm?ProductId=341004831&FiltreCouleur=1118&t=1,[]
55,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-paperbag-fille-avec-ceinture-foulard-imprimee-kaki.htm?ProductId=702081021&amp;FiltreCouleur=6719&amp;t=1"">Pantalon paperbag fille avec ceinture foulard imprimée -...</a>",/pantalon-paperbag-fille-avec-ceinture-foulard-imprimee-kaki.htm?ProductId=702081021&FiltreCouleur=6719&t=1,"['65% Lyocell', '35% coton']"
56,"<a class=""omnitureproductlink product-image-link"" href=""/robe-manches-courtes-en-broderie-anglaise-fille-bleu-grise.htm?ProductId=341003847&amp;FiltreCouleur=0516&amp;t=1"">Robe manches courtes en broderie anglaise fille - bleu grisé</a>",/robe-manches-courtes-en-broderie-anglaise-fille-bleu-grise.htm?ProductId=341003847&FiltreCouleur=0516&t=1,"['100% coton', '100% coton']"
57,"<a class=""omnitureproductlink product-image-link"" href=""/legging-fille-imprime-gris-anthracite.htm?ProductId=700050127&amp;FiltreCouleur=6446&amp;t=1"">Legging fille imprimé - gris anthracite</a>",/legging-fille-imprime-gris-anthracite.htm?ProductId=700050127&FiltreCouleur=6446&t=1,"['95% coton', '5% élasthanne']"
58,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-de-sport-fille-en-molleton-bandes-cotes-marine.htm?ProductId=702081044&amp;FiltreCouleur=6400&amp;t=1"">Pantalon de sport fille en molleton bandes côtés - marine</a>",/pantalon-de-sport-fille-en-molleton-bandes-cotes-marine.htm?ProductId=702081044&FiltreCouleur=6400&t=1,"['68% coton', '32% polyester']"
